epoch, batch, loss, loss_bader, loss_e, bader_mae, bader_rmse, e_mae, e_rmse
    2,    56,           8.7649,           8.7647,       0.00022624,           8.7647,           9.4708,           17.457,           21.118
    2,    57,           6.1161,           6.1156,       0.00058645,           6.1156,            7.026,           39.507,           57.744
    2,    58,           10.727,           10.727,        6.668e-05,           10.727,           11.232,            9.141,           12.701
    2,    59,           5.1181,            5.118,       0.00011875,            5.118,           6.2516,           22.412,           32.228
    2,    60,           9.0363,           9.0361,       0.00017486,           9.0361,           10.152,           8.6417,           10.569
    2,    61,           4.7581,           4.7579,       0.00019061,           4.7579,           5.6337,            30.63,           43.867
    2,    62,           7.7809,           7.7808,       0.00010011,           7.7808,           8.2831,           9.5011,           10.314
    2,    63,           7.4496,           7.4492,       0.00040035,           7.4492,            8.333,           64.125,           77.086
    2,    64,           5.9362,            5.936,       0.00014661,            5.936,           7.1711,           42.706,           72.024
    2,    65,           6.4787,           6.4785,       0.00022909,           6.4785,           7.4364,           19.049,            28.03
    2,    66,           8.0086,           8.0081,       0.00045417,           8.0081,           8.9389,           29.351,           34.328
    2,    67,           7.5041,            7.504,       0.00014757,            7.504,           8.4434,           20.836,            25.18
    2,    68,           6.9319,           6.9316,       0.00033431,           6.9316,           7.3396,           21.786,           24.786
    2,    69,           6.5343,           6.5342,       0.00012733,           6.5342,           8.0903,           25.885,           34.161
    2,    70,           6.9244,            6.924,       0.00033403,            6.924,           7.7681,           16.077,           21.708
    2,    71,           6.5587,           6.5587,       6.3823e-05,           6.5587,           7.1074,           13.622,           19.438
    2,    72,           7.0413,           7.0412,        0.0001448,           7.0412,            7.598,           55.616,            66.39
    2,    73,           6.1905,           6.1891,        0.0013723,           6.1891,           7.3814,           128.54,            192.1
    2,    74,           7.0352,           7.0339,        0.0012713,           7.0339,           7.5467,           19.432,           23.564
    2,    75,           6.2146,           6.2142,       0.00039976,           6.2142,           6.9071,           117.67,           145.27
    2,    76,           6.9457,           6.9456,       0.00016746,           6.9456,           7.8078,           27.044,            36.73
    2,    77,           5.1773,           5.1688,        0.0085304,           5.1688,            6.664,           280.89,           578.12
    2,    78,           6.1072,           6.1056,         0.001657,           6.1056,           6.9148,           70.863,           92.501
    2,    79,           6.6397,           6.6395,       0.00019495,           6.6395,            7.862,           32.533,             41.5
    2,    80,           7.2033,           7.2029,       0.00048705,           7.2029,           7.8919,           32.034,           40.031
    2,    81,           5.0306,           5.0305,       8.5056e-05,           5.0305,           5.8019,           24.849,           39.276
    2,    82,           7.4686,           7.4678,        0.0007621,           7.4678,           8.0727,           39.248,           55.061
    2,    83,           5.1004,              5.1,       0.00036285,              5.1,           6.3041,           119.28,           200.15
    2,    84,           7.1093,           7.1091,       0.00022621,           7.1091,           7.9062,           21.584,           27.694
    2,    85,           10.444,           10.444,        7.705e-05,           10.444,           10.746,           12.106,           21.482
    2,    86,           11.181,           11.181,       0.00023917,           11.181,           11.973,           11.541,           17.661
    2,    87,           7.0741,           7.0733,       0.00078908,           7.0733,           8.7813,           93.599,           126.98
    2,    88,           5.2695,            5.261,        0.0084893,            5.261,           5.9137,            230.5,           345.32
    2,    89,           8.1003,           8.1001,       0.00016638,           8.1001,           8.5068,           9.2444,           12.211
    2,    90,           4.3861,           4.3836,        0.0024931,           4.3836,           5.1356,           322.87,           367.77
    2,    91,           4.4759,           4.4757,       0.00018023,           4.4757,           5.7326,           36.808,           47.682
    2,    92,           5.2386,           5.2363,        0.0022966,           5.2363,           6.2888,           102.26,           180.38
    2,    93,           5.4123,            5.409,        0.0033166,            5.409,           6.8724,           221.74,           328.79
    2,    94,           9.0486,            9.048,       0.00058804,            9.048,           10.317,           64.008,            107.9
    2,    95,           5.5025,           5.5011,        0.0014389,           5.5011,           6.8759,           57.045,           110.27
    2,    96,           6.1925,           6.1915,          0.00107,           6.1915,           7.6316,           149.89,           244.56
    2,    97,           9.0198,            9.004,         0.015849,            9.004,           9.7168,           95.866,           128.76
    2,    98,           8.5337,           8.5285,        0.0051705,           8.5285,           9.7936,           116.39,           152.82
    2,    99,           6.3674,           6.3622,         0.005285,           6.3622,            7.572,           66.284,           96.418
    2,   100,           5.1084,           5.1044,        0.0040255,           5.1044,           6.2833,           204.28,           313.97
    2,   101,           7.9105,           7.9092,         0.001251,           7.9092,           9.0926,           58.582,           68.564
    2,   102,           6.9176,           6.9175,       0.00012712,           6.9175,           7.1799,           28.198,           41.114
    2,   103,           8.5011,           8.4985,         0.002674,           8.4985,           9.9742,           103.58,           186.67
    2,   104,            10.48,           10.467,         0.013647,           10.467,           11.134,           187.86,           241.64
    2,   105,           10.611,           10.611,       0.00047375,           10.611,           11.172,           23.972,           30.738
    2,   106,           8.6326,           8.5973,         0.035261,           8.5973,           9.0775,           451.76,           952.96
    2,   107,           5.5937,           5.5876,        0.0061191,           5.5876,           7.9493,            131.2,           173.04
    2,   108,           9.2986,           9.2794,         0.019204,           9.2794,           10.184,           150.29,           281.97
    2,   109,           6.9266,            6.923,        0.0036089,            6.923,           7.3831,           290.23,           463.01
    2,   110,            10.42,           10.408,         0.011826,           10.408,            11.26,           291.26,           573.77
    2,   111,           10.146,           10.145,       0.00080924,           10.145,            10.39,           30.041,           41.429
    2,   112,            8.108,           8.1025,        0.0055612,           8.1025,           8.8095,           57.206,           84.743
    3,     1,           3.2329,           3.2233,        0.0095542,           3.2233,           4.6641,           179.34,           267.56
    3,     2,           9.3612,           9.3608,       0.00038934,           9.3608,            9.766,           11.351,           15.422
    3,     3,            9.437,           9.4121,         0.024938,           9.4121,           9.9304,            229.3,           401.95
    3,     4,           8.9411,           8.8646,         0.076416,           8.8646,           11.052,           318.25,           602.17
    3,     5,           6.3446,           6.3384,        0.0062208,           6.3384,           6.9517,            237.9,           382.18
    3,     6,           6.5345,            6.526,         0.008516,            6.526,           7.7761,           101.94,            172.1
    3,     7,           7.0609,           7.0552,         0.005687,           7.0552,           7.4953,           381.32,           544.91
    3,     8,           8.7713,           8.7627,        0.0085748,           8.7627,           9.5691,            145.9,           251.82
    3,     9,           10.318,           10.311,        0.0073894,           10.311,           11.879,           142.17,            263.8
    3,    10,           9.8099,           9.7963,         0.013597,           9.7963,           10.481,           48.061,           75.478
    3,    11,            7.203,           7.1968,        0.0061791,           7.1968,           8.0507,           70.834,             96.1
    3,    12,           8.5157,           8.5081,        0.0076172,           8.5081,           10.794,           273.22,           438.61
    3,    13,           3.6914,           3.6715,         0.019905,           3.6715,            4.817,           802.18,             1298
    3,    14,           9.5217,           9.5195,        0.0022063,           9.5195,           9.8424,           103.52,           192.76
    3,    15,           5.0917,           5.0675,         0.024172,           5.0675,           5.6963,            344.7,           447.01
    3,    16,           8.5714,            8.568,         0.003445,            8.568,           9.5559,           297.03,           446.52
    3,    17,           4.7787,           4.7669,         0.011807,           4.7669,           6.4075,           204.54,           424.82
    3,    18,           9.1342,           9.1254,        0.0088372,           9.1254,           9.7487,           36.236,           51.669
    3,    19,           6.0194,           6.0119,        0.0075677,           6.0119,           6.6946,           229.72,           445.69
    3,    20,           5.1794,           5.1712,        0.0081555,           5.1712,           5.8782,              541,           849.13
    3,    21,           9.0301,           9.0236,        0.0065498,           9.0236,           9.9782,           58.601,           69.357
    3,    22,           7.6627,           7.6558,        0.0068345,           7.6558,           9.0266,           244.55,           349.78
    3,    23,           3.9412,           3.9263,         0.014895,           3.9263,           4.7664,           923.11,           1262.6
    3,    24,           6.0871,           6.0752,         0.011901,           6.0752,           7.4317,           315.01,           510.17
    3,    25,           6.2854,           6.2828,        0.0026808,           6.2828,           6.4951,           206.92,           404.76
    3,    26,           5.8475,           5.8366,         0.010912,           5.8366,           6.3348,           218.43,           300.59
    3,    27,            10.42,            10.42,       0.00033263,            10.42,           10.846,           17.873,           21.417
    3,    28,           4.8214,           4.8057,         0.015628,           4.8057,           5.8765,           407.43,            639.4
    3,    29,           5.2014,           5.1813,         0.020145,           5.1813,             6.05,           391.46,           710.99
    3,    30,           3.2368,           3.2143,         0.022468,           3.2143,           4.5787,           880.72,           988.28
    3,    31,           8.5841,           8.5837,       0.00043858,           8.5837,           9.3657,           56.992,           82.527
    3,    32,           4.6433,            4.633,         0.010307,            4.633,           5.7021,           610.52,           906.07
    3,    33,           3.4438,            3.441,         0.002794,            3.441,           4.7224,            107.2,           139.51
    3,    34,           6.5811,           6.5786,        0.0025177,           6.5786,           7.2758,           70.196,           120.05
    3,    35,           8.0274,           8.0274,        8.751e-05,           8.0274,           8.4542,            13.89,           16.879
    3,    36,           5.5124,           5.5007,         0.011684,           5.5007,           6.0834,           177.03,           266.84
    3,    37,           5.4998,           5.4929,        0.0068461,           5.4929,           6.9895,           252.56,           327.49
    3,    38,            4.888,           4.8792,        0.0088299,           4.8792,           6.2757,           298.04,           559.87
    3,    39,           4.9212,           4.9198,        0.0014145,           4.9198,           5.6911,           39.932,           63.581
    3,    40,           6.7095,            6.707,        0.0025133,            6.707,           7.4821,           224.68,           466.37
    3,    41,           6.2581,           6.2526,        0.0055044,           6.2526,           7.6887,           129.41,           260.44
    3,    42,           9.0255,           9.0227,        0.0028017,           9.0227,           10.851,           75.086,           103.26
    3,    43,           9.3455,           9.3452,       0.00034467,           9.3452,           9.5795,           27.692,            50.33
    3,    44,           3.9072,           3.9052,        0.0019751,           3.9052,            5.335,           148.56,           206.77
    3,    45,           9.1211,            9.118,        0.0030603,            9.118,           9.7757,           180.82,           345.68
    3,    46,           9.7018,           9.6994,        0.0023609,           9.6994,           10.715,           120.22,           173.82
    3,    47,           9.1878,           9.1815,        0.0063012,           9.1815,           9.9658,           269.51,           406.71
    3,    48,           7.4975,           7.4973,       0.00020996,           7.4973,           8.2056,           31.034,           38.253
    3,    49,           7.7777,           7.7775,       0.00015032,           7.7775,           8.2893,           20.861,           34.073
    3,    50,           4.9141,           4.9114,         0.002742,           4.9114,           6.1279,           192.96,            384.8
    3,    51,           7.2841,           7.2791,        0.0050948,           7.2791,           8.0594,            157.4,           234.16
    3,    52,           7.6739,           7.6735,       0.00040081,           7.6735,           8.3096,           12.719,           13.647
    3,    53,           5.2243,           5.2184,         0.005898,           5.2184,           6.2461,           95.671,           119.89
    3,    54,           8.1699,           8.1657,        0.0042426,           8.1657,           9.1309,           64.434,           115.78
    3,    55,           7.5577,           7.5574,       0.00032884,           7.5574,           7.8376,           19.877,           22.863
    3,    56,           8.6234,           8.6216,        0.0018349,           8.6216,           9.6798,           38.625,           58.134
    3,    57,           7.3267,           7.3237,        0.0029391,           7.3237,           8.9304,           64.586,           108.51
    3,    58,           6.3682,           6.3564,         0.011843,           6.3564,           7.5389,           403.66,            567.7
    3,    59,           6.6401,           6.6398,       0.00029517,           6.6398,           7.3621,           42.862,           53.691
    3,    60,           7.1799,           7.1758,          0.00408,           7.1758,           8.2418,            107.2,           155.24
    3,    61,           4.9344,           4.9317,        0.0027111,           4.9317,           6.3682,           95.877,           138.28
    3,    62,           7.1128,           7.0791,         0.033753,           7.0791,           7.5598,           246.98,           459.73
    3,    63,           7.2885,           7.2865,        0.0019994,           7.2865,           8.0595,           87.177,           118.36
    3,    64,           10.352,           10.351,       0.00068832,           10.351,           10.958,           22.325,           25.975
    3,    65,            6.145,           6.1437,        0.0013346,           6.1437,           8.1463,           91.816,           146.71
    3,    66,           6.7702,            6.769,        0.0012287,            6.769,           7.8838,           42.308,           59.048
    3,    67,           6.7061,           6.7008,        0.0053712,           6.7008,           7.5509,           161.26,           229.06
    3,    68,           6.4039,           6.4035,       0.00037779,           6.4035,           7.5293,           47.706,           63.878
    3,    69,           5.8357,           5.8344,        0.0013293,           5.8344,           7.0273,           65.138,           84.739
    3,    70,           7.1918,           7.1904,        0.0014137,           7.1904,           7.9104,           32.885,            48.47
    3,    71,           6.3717,           6.3688,        0.0029301,           6.3688,           7.6148,              120,           243.93
    3,    72,           4.7765,            4.773,        0.0034308,            4.773,           5.3515,           198.91,           307.73
